(PDH-CSV 4.0) (Pacific Daylight Time)(420),\\DESKTOP-69VA935\Process(RansomDetectorService)\% Processor Time,\\DESKTOP-69VA935\Process(RansomDetectorService)\Working Set
38:57.1,54.68927631,27172864
39:02.1,52.49844395,27172864
39:07.1,7.18723551,27172864
39:12.1,12.49992925,27172864
39:17.2,18.75017513,27172864
39:22.1,2.187610956,27172864
39:27.1,5.937590726,27172864
39:32.1,45.30903386,27176960
39:37.1,38.75265611,27176960
39:42.1,50.00060201,27176960
39:47.1,41.55884615,27176960
39:52.2,68.71200987,27176960
39:57.1,56.69089541,27176960
40:02.1,82.81433185,27176960
40:07.1,22.81302607,27181056
40:12.1,40.6226447,27181056
40:17.1,2.499915053,27181056
40:22.2,12.38416643,27193344
40:27.1,63.72352705,27193344
40:32.1,29.37421101,27193344
40:37.1,42.81413893,27193344
40:42.1,41.25089597,27193344
40:47.1,29.06004675,27193344
40:52.1,32.81476094,27193344
40:57.1,30.31283223,27193344
41:02.1,12.18675734,27193344
41:07.1,4.374923789,27193344
41:12.2,4.373861221,27193344
41:17.1,4.688954607,27193344
41:22.1,3.749775238,27193344
41:27.1,4.375163981,27193344
41:32.1,30.938232,27254784
41:37.1,32.81226769,28090368
41:42.1,69.37611141,28090368
41:47.1,14.68665787,28090368
41:52.1,5.625130728,28090368
41:57.1,30.31168643,28090368
42:02.1,32.18924401,28090368
42:07.1,4.68722261,28090368
42:12.1,5.000234711,28090368
42:17.1,5.312505419,28090368
42:22.1,4.700110113,28090368
42:27.1,24.30957128,28090368
42:32.1,40.62454257,28086272
42:37.1,60.6234929,28086272
42:42.1,28.4395704,28086272
42:47.1,10.31274895,28086272
42:52.2,16.87382389,28086272
42:57.1,2.18749965,28086272
43:02.1,5.625128703,28086272
43:07.1,26.56335959,28086272
43:12.1,9.686952493,28086272
43:17.1,7.499799005,28086272
43:22.1,36.25103968,28094464
43:27.2,67.19064183,28094464
43:32.1,46.25046158,28094464
43:37.1,12.18752048,28094464
43:42.1,37.81120308,28094464
43:47.1,60.94055922,28094464
43:52.1,63.12135411,28094464
43:57.1,47.81219496,28094464
44:02.1,2.812676355,28094464
44:07.1,18.12415288,28098560
44:12.1,51.87442316,28200960
44:17.1,36.87524043,28200960
44:22.1,45.0020971,28336128
44:27.1,37.49597443,28409856
44:32.1,39.06481811,28409856
44:37.2,10.93748688,28409856
44:42.1,8.750320262,28409856
44:47.1,18.75049464,28409856
44:52.1,35.31228106,28409856
44:57.1,45.93480179,28475392
45:02.1,31.56358263,28475392
45:07.1,32.18724636,28512256
45:12.1,31.56220647,28512256
45:17.1,8.437774396,28512256
45:22.1,15.93627131,28512256
45:27.1,26.25146746,28585984
45:32.1,29.9998968,28585984
45:37.1,47.18872879,28651520
45:42.1,20.6240913,28786688
45:47.1,9.37453596,28786688
45:52.1,49.06574815,28852224
45:57.1,23.74875462,30085120
46:02.1,21.87650379,30085120
46:07.1,46.8700224,30085120
46:12.1,27.50320302,30085120
46:17.1,9.062307335,30085120
46:22.1,15.62428847,30085120
46:27.1,14.9999802,30085120
46:32.1,9.062384001,30085120
46:37.1,51.5647936,30085120
46:42.1,43.74943651,30085120
46:47.1,32.50160493,30089216
46:52.1,43.1225653,30089216
46:57.1,44.37376375,30105600
47:02.1,17.5001743,30134272
47:07.1,62.81236935,30134272
47:12.1,50.3153408,30130176
47:17.1,33.12415136,30142464
47:22.1,49.0599479,30142464
47:27.1,39.37561977,30142464
47:32.1,2.500135257,30142464
47:37.1,7.187278919,30142464
47:42.1,45.62704227,30146560
47:47.1,4.999930301,30146560
47:52.1,5.625037913,30146560
47:57.1,9.687225464,30150656
48:02.1,36.2498115,30150656
48:07.1,44.68642216,30150656
48:12.2,35.62530709,30150656
48:17.1,20.31277382,30146560
48:22.1,19.37198921,30146560
48:27.1,41.25819883,30146560
48:32.1,7.812090022,26046464
48:37.1,5.937780026,26046464
48:42.1,4.37459745,26046464
48:47.2,36.56457906,26050560
48:52.1,43.74789223,24944640
48:57.1,31.8769853,24956928
49:02.1,31.56061204,24956928
49:07.1,10.62536764,24956928
49:12.1,2.500187114,24973312
49:17.1,64.36909349,24973312
49:22.2,22.49993115,24997888
49:27.1,32.1897359,24997888
49:32.1,39.68467763,24997888
49:37.1,36.87512833,24997888
49:42.1,38.43743466,25096192
49:47.1,1.250067879,25096192
49:52.1,2.812542244,25096192
49:57.2,18.12423298,25096192
50:02.1,35.31186368,25096192
50:07.1,46.56409249,25096192
50:12.1,41.25076231,25161728
