(PDH-CSV 4.0) (Pacific Daylight Time)(420),\\DESKTOP-69VA935\Process(RansomDetectorService)\% Processor Time,\\DESKTOP-69VA935\Process(RansomDetectorService)\Working Set
06/16/2025 23:26:51.950,0,26697728
06/16/2025 23:26:56.950,0,26697728
06/16/2025 23:27:01.965,0,26697728
06/16/2025 23:27:06.950,0,26697728
06/16/2025 23:27:11.950,0,26697728
06/16/2025 23:27:16.950,13.74956414,26697728
06/16/2025 23:27:21.965,10.59234761,26697728
06/16/2025 23:27:26.950,1.253864561,26697728
06/16/2025 23:27:31.965,0,26697728
06/16/2025 23:27:36.949,0,26697728
06/16/2025 23:27:41.950,0,26697728
06/16/2025 23:27:46.965,0,26697728
06/16/2025 23:27:51.950,0,26697728
06/16/2025 23:27:56.965,0,26697728
06/16/2025 23:28:01.949,0,26697728
06/16/2025 23:28:06.950,0.312476914,26718208
06/16/2025 23:28:11.965,0,26718208
06/16/2025 23:28:16.949,0,26718208
06/16/2025 23:28:21.950,0,26718208
06/16/2025 23:28:26.965,0,26718208
06/16/2025 23:28:31.950,0,26718208
06/16/2025 23:28:36.965,0,26718208
06/16/2025 23:28:41.950,0,26718208
06/16/2025 23:28:46.950,0,26718208
06/16/2025 23:28:51.965,0,26718208
06/16/2025 23:28:56.965,0,26718208
06/16/2025 23:29:01.949,0,26718208
06/16/2025 23:29:06.950,0,24928256
06/16/2025 23:29:11.981,0,24928256
06/16/2025 23:29:16.950,1.572361157,24928256
06/16/2025 23:29:21.950,0,24928256
06/16/2025 23:29:26.965,0,24928256
06/16/2025 23:29:31.949,0,24928256
06/16/2025 23:29:36.949,0,24928256
06/16/2025 23:29:41.949,0,24928256
06/16/2025 23:29:46.965,0,24928256
06/16/2025 23:29:51.949,0,24928256
06/16/2025 23:29:56.950,0,24928256
06/16/2025 23:30:01.965,0,24928256
06/16/2025 23:30:06.950,0,24928256
06/16/2025 23:30:11.965,0,24928256
06/16/2025 23:30:16.950,0,24928256
06/16/2025 23:30:21.965,0,24928256
06/16/2025 23:30:27.038,0,24928256
06/16/2025 23:30:31.974,3.165617532,24928256
06/16/2025 23:30:36.963,0.939553469,24928256
06/16/2025 23:30:41.966,0.936858215,24993792
06/16/2025 23:30:46.966,0,24993792
06/16/2025 23:30:51.951,0,24993792
06/16/2025 23:30:56.951,0,24993792
06/16/2025 23:31:01.966,0,24993792
06/16/2025 23:31:06.951,0,24993792
06/16/2025 23:31:11.951,0,24993792
06/16/2025 23:31:16.967,0,24993792
06/16/2025 23:31:21.951,0,24993792
06/16/2025 23:31:26.966,0,24993792
06/16/2025 23:31:31.951,0,24993792
06/16/2025 23:31:36.951,0,24993792
06/16/2025 23:31:41.951,0,24993792
06/16/2025 23:31:46.967,0,24993792
06/16/2025 23:31:51.951,0,24993792
06/16/2025 23:31:56.966,0,24993792
06/16/2025 23:32:01.951,0,24993792
06/16/2025 23:32:06.951,0,24993792
06/16/2025 23:32:11.966,0,24993792
06/16/2025 23:32:16.951,0,24993792
06/16/2025 23:32:21.966,0,24993792
06/16/2025 23:32:26.951,0.94035405,24993792
06/16/2025 23:32:31.966,0.311548966,24993792
06/16/2025 23:32:36.951,2.194116094,24993792
06/16/2025 23:32:41.966,0,24993792
06/16/2025 23:32:46.951,0,24993792
06/16/2025 23:32:51.966,0,24993792
06/16/2025 23:32:56.951,0,24993792
06/16/2025 23:33:01.951,0,24993792
06/16/2025 23:33:06.966,0,24993792
06/16/2025 23:33:11.951,0,24993792
06/16/2025 23:33:16.967,0,24993792
06/16/2025 23:33:21.951,0,24993792
06/16/2025 23:33:26.966,0,24993792
06/16/2025 23:33:31.951,0,24993792
06/16/2025 23:33:36.951,0,24993792
06/16/2025 23:33:41.966,0,24993792
06/16/2025 23:33:46.951,0,24993792
06/16/2025 23:33:51.951,0,24993792
06/16/2025 23:33:56.966,0,24993792
06/16/2025 23:34:01.951,0,24993792
06/16/2025 23:34:06.951,0,24993792
06/16/2025 23:34:11.951,0,24993792
06/16/2025 23:34:16.966,0,24993792
06/16/2025 23:34:21.951,0,24993792
06/16/2025 23:34:26.966,0,24993792
06/16/2025 23:34:31.966,0,24993792
06/16/2025 23:34:36.951,0,24993792
06/16/2025 23:34:41.966,1.557591344,24997888
06/16/2025 23:34:46.951,0,24997888
06/16/2025 23:34:51.951,5.312466319,25001984
06/16/2025 23:34:56.966,0,25001984
06/16/2025 23:35:01.951,0,25001984
06/16/2025 23:35:06.966,0,25001984
06/16/2025 23:35:11.951,0,25001984
06/16/2025 23:35:16.951,0,25001984
06/16/2025 23:35:21.966,0,24784896
06/16/2025 23:35:26.951,0,24784896
06/16/2025 23:35:31.951,0,24784896
06/16/2025 23:35:36.966,0,24784896
06/16/2025 23:35:41.951,0,24784896
06/16/2025 23:35:46.951,0,24784896
06/16/2025 23:35:51.966,0,24784896
06/16/2025 23:35:56.951,0,24784896
06/16/2025 23:36:01.951,0,24784896
06/16/2025 23:36:06.966,0,24784896
06/16/2025 23:36:11.951,0,24784896
06/16/2025 23:36:16.966,0,24784896
06/16/2025 23:36:21.950,0,24784896
06/16/2025 23:36:26.950,0,24784896
06/16/2025 23:36:31.966,0,24784896
06/16/2025 23:36:36.950,0,24784896
06/16/2025 23:36:41.951,0,24784896
06/16/2025 23:36:46.951,0,24784896
06/16/2025 23:36:51.966,0,24784896
06/16/2025 23:36:56.950,0,24784896
06/16/2025 23:37:01.951,0,24784896
06/16/2025 23:37:06.966,0,24784896
06/16/2025 23:37:11.950,0,24784896
06/16/2025 23:37:16.951,0,24784896
06/16/2025 23:37:21.966,0,24784896
06/16/2025 23:37:26.950,0,24784896
06/16/2025 23:37:31.951,0,24784896
06/16/2025 23:37:36.966,0,24784896
06/16/2025 23:37:41.951,0,24784896
06/16/2025 23:37:46.967,0,24784896
06/16/2025 23:37:51.951,0,24784896
06/16/2025 23:37:56.951,0,24784896
06/16/2025 23:38:01.966,0,24784896
06/16/2025 23:38:06.950,0,24784896
06/16/2025 23:38:11.951,0,24784896
06/16/2025 23:38:16.966,0,24784896
06/16/2025 23:38:21.951,0,24784896
06/16/2025 23:38:26.951,0,24784896
06/16/2025 23:38:31.951,0,24784896
06/16/2025 23:38:36.966,0,24784896
06/16/2025 23:38:41.950,0,24784896
06/16/2025 23:38:46.950,0,24784896
06/16/2025 23:38:51.950,0,24784896
06/16/2025 23:38:56.951,0,24784896
06/16/2025 23:39:01.966,0,24784896
06/16/2025 23:39:06.951,0,24784896
06/16/2025 23:39:11.966,0,24784896
06/16/2025 23:39:16.951,0,24784896
06/16/2025 23:39:21.966,0,24784896
06/16/2025 23:39:26.951,0,24784896
06/16/2025 23:39:31.966,0,24784896
06/16/2025 23:39:36.951,0,24784896
06/16/2025 23:39:41.966,0,24784896
06/16/2025 23:39:46.951,0,24784896
06/16/2025 23:39:51.966,0,24784896
06/16/2025 23:39:56.951,0,24784896
06/16/2025 23:40:01.982,0,24784896
06/16/2025 23:40:06.951,0,24784896
06/16/2025 23:40:11.966,0,24784896
06/16/2025 23:40:16.951,0,24784896
06/16/2025 23:40:21.951,0,24784896
06/16/2025 23:40:26.966,0,24784896
06/16/2025 23:40:31.951,0,24784896
06/16/2025 23:40:36.966,0,24784896
06/16/2025 23:40:41.956,0,24784896
06/16/2025 23:40:46.956,0,24784896
06/16/2025 23:40:51.971,0.934604725,25001984
06/16/2025 23:40:56.956,0,25001984
06/16/2025 23:41:01.956,0,25001984
06/16/2025 23:41:06.972,0,25001984
06/16/2025 23:41:11.972,0,25001984
06/16/2025 23:41:16.956,0,25001984
06/16/2025 23:41:21.971,0,25001984
06/16/2025 23:41:26.956,0,25001984
06/16/2025 23:41:31.956,0,25001984
06/16/2025 23:41:36.972,0,25001984
06/16/2025 23:41:41.956,0,25001984
06/16/2025 23:41:46.972,0,25001984
06/16/2025 23:41:51.956,0.940484383,25001984
06/16/2025 23:41:56.971,0,25001984
06/16/2025 23:42:01.956,0,25001984
06/16/2025 23:42:06.956,0,25001984
06/16/2025 23:42:11.971,0,25001984
06/16/2025 23:42:16.956,0,25001984
06/16/2025 23:42:21.956,0,25001984
06/16/2025 23:42:26.956,0,25001984
06/16/2025 23:42:31.971,0,25001984
06/16/2025 23:42:36.956,0,25001984
06/16/2025 23:42:41.956,0,25001984
06/16/2025 23:42:46.956,0,25001984
06/16/2025 23:42:51.972,0,25001984
06/16/2025 23:42:56.956,0,25001984
06/16/2025 23:43:01.956,0,25001984
06/16/2025 23:43:06.972,0.311528374,25001984
06/16/2025 23:43:11.956,0,25001984
06/16/2025 23:43:16.956,0,25001984
06/16/2025 23:43:21.956,0,25001984
06/16/2025 23:43:26.971,0,25001984
06/16/2025 23:43:31.956,0,25001984
06/16/2025 23:43:36.971,0,25001984
06/16/2025 23:43:41.956,0,25001984
06/16/2025 23:43:46.972,0,25001984
06/16/2025 23:43:51.956,0,25001984
06/16/2025 23:43:56.972,0,25001984
06/16/2025 23:44:01.972,0,25001984
06/16/2025 23:44:06.956,0,25001984
06/16/2025 23:44:11.972,0,25001984
06/16/2025 23:44:16.956,0,25001984
06/16/2025 23:44:21.972,0,25001984
06/16/2025 23:44:26.956,0,25001984
06/16/2025 23:44:31.972,0,25001984
06/16/2025 23:44:36.956,0,25001984
06/16/2025 23:44:41.956,0,25001984
06/16/2025 23:44:46.956,0.937473338,25001984
06/16/2025 23:44:51.972,0,25001984
06/16/2025 23:44:56.956,0,25001984
06/16/2025 23:45:01.971,0,25001984
06/16/2025 23:45:06.956,0,25001984
06/16/2025 23:45:11.956,0,25001984
06/16/2025 23:45:16.972,0,25001984
06/16/2025 23:45:21.972,0,25001984
06/16/2025 23:45:26.956,0,25001984
06/16/2025 23:45:31.971,0,25001984
06/16/2025 23:45:36.956,0,25001984
06/16/2025 23:45:41.972,0,25001984
06/16/2025 23:45:46.956,0,25001984
06/16/2025 23:45:51.956,0,25001984
06/16/2025 23:45:56.971,0,25001984
06/16/2025 23:46:01.956,0,25001984
06/16/2025 23:46:06.956,0,25001984
06/16/2025 23:46:11.956,0,25001984
06/16/2025 23:46:16.956,0,25001984
06/16/2025 23:46:21.972,0,25001984
06/16/2025 23:46:26.956,0,25001984
06/16/2025 23:46:31.971,0,25001984
06/16/2025 23:46:36.956,0,25001984
06/16/2025 23:46:41.956,0,25001984
06/16/2025 23:46:46.972,0,25001984
06/16/2025 23:46:51.956,0,25001984
06/16/2025 23:46:56.956,0,25001984
06/16/2025 23:47:01.972,0,25001984
06/16/2025 23:47:06.956,0,25001984
06/16/2025 23:47:11.964,0,25001984
06/16/2025 23:47:16.963,0.937663622,25001984
06/16/2025 23:47:21.971,1.871826132,25001984
06/16/2025 23:47:26.956,1.253925338,25001984
06/16/2025 23:47:31.956,2.187417534,25001984
06/16/2025 23:47:36.971,0,25001984
06/16/2025 23:47:41.956,0,25001984
06/16/2025 23:47:46.971,0,25001984
06/16/2025 23:47:51.956,0,25001984
06/16/2025 23:47:56.971,0,25001984
06/16/2025 23:48:01.956,0,25001984
06/16/2025 23:48:06.956,0,25001984
06/16/2025 23:48:11.972,0,25001984
06/16/2025 23:48:16.956,0,25001984
06/16/2025 23:48:21.971,0,25001984
06/16/2025 23:48:26.956,0,25001984
06/16/2025 23:48:31.956,0,25001984
06/16/2025 23:48:36.971,0,25001984
06/16/2025 23:48:41.956,0,25001984
06/16/2025 23:48:46.956,0,25001984
06/16/2025 23:48:51.971,0,25001984
06/16/2025 23:48:56.956,0,25001984
06/16/2025 23:49:01.971,0,25001984
06/16/2025 23:49:06.956,0,25001984
06/16/2025 23:49:11.956,0,25001984
06/16/2025 23:49:16.971,0,25001984
06/16/2025 23:49:21.956,0,25001984
06/16/2025 23:49:26.971,0,25001984
06/16/2025 23:49:31.956,0,25001984
06/16/2025 23:49:36.956,0,25001984
06/16/2025 23:49:42.004,0,25001984
06/16/2025 23:49:46.971,0,25001984
06/16/2025 23:49:51.956,0,25001984
06/16/2025 23:49:56.956,0,25001984
06/16/2025 23:50:01.972,0,25001984
06/16/2025 23:50:06.960,0,25001984
06/16/2025 23:50:11.960,0,25001984
